"","Name","Length","Date"
"1","Nitrate (as N)_Chem1040_update.mdb",189820928,2011-04-05 14:44:00
"2","6-Year ICR Dataset Overview.doc",143360,2009-08-25 12:54:00
"3","1,1,1-Trichloroethane_Chem2981.mdb",65097728,2009-08-21 11:18:00
"4","1,1,2-Trichloroethane_Chem2985.mdb",64065536,2009-08-21 11:18:00
"5","1,1-Dichloroethylene_Chem2977.mdb",65527808,2009-08-21 11:19:00
"6","1,2,4-Trichlorobenzene_Chem2378.mdb",64421888,2009-08-21 11:20:00
"7","1,2-Dichlorobenzene (o-Dichlorobenzene)_Chem2968.mdb",64770048,2009-08-21 11:31:00
"8","1,2-Dichloroethane_Chem2980.mdb",80936960,2009-08-21 11:28:00
"9","1,2-Dichloropropane_Chem2983.mdb",80777216,2009-08-21 11:29:00
"10","1,4-Dichlorobenzene (p-Dichlorobenzene)_Chem2969.mdb",64348160,2009-08-21 11:30:00
"11","2,3,7,8-TCDD (Dioxin)_Chem2063.mdb",2031616,2009-08-21 11:30:00
"12","2,4,5-TP (Silvex)_Chem2110.mdb",22142976,2009-08-21 11:31:00
"13","2,4-D_Chem2105.mdb",28192768,2009-08-21 11:32:00
"14","Cyanide_Chem1024.mdb",21598208,2009-08-21 11:52:00
"15","Alachlor_Chem2051.mdb",27910144,2009-08-21 11:33:00
"16","Alpha Particles_Chem4000.mdb",13717504,2009-08-21 11:34:00
"17","Antimony_Chem1074.mdb",32989184,2009-08-21 11:34:00
"18","Arsenic_Chem1005.mdb",39182336,2009-08-21 11:34:00
"19","Asbestos_Chem1094.mdb",3313664,2009-08-21 11:35:00
"20","Atrazine_Chem2050.mdb",28766208,2009-08-21 11:45:00
"21","Barium_Chem1010.mdb",32526336,2009-08-21 11:46:00
"22","Benzene_Chem2990.mdb",64417792,2009-08-21 11:47:00
"23","Benzo[a]pyrene_Chem2306.mdb",21786624,2009-08-21 11:47:00
"24","Beryllium_Chem1075.mdb",32534528,2009-08-21 11:48:00
"25","Beta Particles (Gross beta)_Chem4100.mdb",10969088,2009-08-21 11:48:00
"26","Cadmium_Chem1015.mdb",32264192,2009-08-21 11:48:00
"27","Carbofuran_Chem2046.mdb",25944064,2009-08-21 11:49:00
"28","CarbonTetrachloride_Chem2982.mdb",82636800,2009-08-21 11:49:00
"29","Chlordane_Chem2959.mdb",29024256,2009-08-21 11:50:00
"30","Chromium (total)_Chem1020.mdb",32858112,2009-08-21 11:50:00
"31","cis-1,2-Dichloroethylene_Chem2380.mdb",64708608,2009-08-21 11:51:00
"32","Combined Radium-226_228_Chem4010.mdb",6873088,2009-08-21 11:51:00
"33","Monochlorobenzene (Chlorobenzene)_Chem2989.mdb",64290816,2009-08-21 12:01:00
"34","Dalapon_Chem2031.mdb",20336640,2009-08-21 11:52:00
"35","DBCP_Chem2931.mdb",49537024,2009-08-21 11:53:00
"36","Di(2-ethylhexyl) phthalate (DEHP)_Chem2039.mdb",21942272,2009-08-21 11:53:00
"37","Di(2-ethylhexyl)adipate (DEHA)_Chem2035.mdb",22134784,2009-08-21 11:54:00
"38","Dichloromethane_Chem2964.mdb",64004096,2009-08-21 11:55:00
"39","Dinoseb_Chem2041.mdb",21979136,2009-08-21 11:55:00
"40","Diquat_Chem2032.mdb",10018816,2009-08-21 11:56:00
"41","Endothall_Chem2033.mdb",8990720,2009-08-21 11:56:00
"42","Endrin_Chem2005.mdb",24141824,2009-08-21 11:56:00
"43","Ethylbenzene_Chem2992.mdb",64905216,2009-08-21 11:57:00
"44","Ethylene dibromide (EDB)_Chem2946.mdb",37974016,2009-08-21 11:58:00
"45","Fluoride_Chem1025.mdb",57659392,2009-08-21 11:58:00
"46","Glyphosate_Chem2034.mdb",10383360,2009-08-21 11:58:00
"47","Heptachlor_Chem2065.mdb",30191616,2009-08-21 11:59:00
"48","HeptachlorEpoxide_Chem2067.mdb",30343168,2009-08-21 11:59:00
"49","Hexachlorobenzene_Chem2274.mdb",30519296,2009-08-21 11:59:00
"50","Hexachlorocyclopentadiene_Chem2042.mdb",24113152,2009-08-21 12:00:00
"51","Lindane_Chem2010.mdb",24403968,2009-08-21 12:00:00
"52","Mercury (inorganic)_Chem1035.mdb",32280576,2009-08-21 12:01:00
"53","Methoxychlor_Chem2015.mdb",24649728,2009-08-21 12:01:00
"54","Nitrite (as N)_Chem1041.mdb",69468160,2009-08-21 12:02:00
"55","Oxamyl_Chem2036.mdb",25829376,2009-08-21 12:04:00
"56","Pentachlorophenol_Chem2326.mdb",24584192,2009-08-21 12:04:00
"57","Picloram_Chem2040.mdb",21991424,2009-08-21 12:04:00
"58","Polychlorinated biphenyls (PCBs)_Chem2383.mdb",12390400,2009-08-21 12:05:00
"59","Selenium_Chem1045.mdb",32256000,2009-08-21 12:05:00
"60","Simazine_Chem2037.mdb",28139520,2009-08-21 12:06:00
"61","Styrene_Chem2996.mdb",64610304,2009-08-21 12:06:00
"62","Xylenes_Chem2955.mdb",77914112,2009-08-21 12:10:00
"63","Tetrachloroethylene_Chem2987.mdb",87003136,2009-08-21 12:06:00
"64","Thallium_Chem1085.mdb",32825344,2009-08-21 12:07:00
"65","Toluene_Chem2991.mdb",80744448,2009-08-21 12:07:00
"66","Toxaphene_Chem2020.mdb",26214400,2009-08-21 12:07:00
"67","trans-1,2-Dichloroethylene_Chem2979.mdb",64421888,2009-08-21 12:08:00
"68","Trichloroethylene_Chem2984.mdb",85753856,2009-08-21 12:08:00
"69","Uranium_Chem4006.mdb",6873088,2009-08-21 12:09:00
"70","VinylChloride_Chem2976.mdb",64221184,2009-08-21 12:09:00
