variable,type,description,source,geography
tract_geoid,character (11-digit FIPS),2010 Census tract identifier,Census / derived,tract
dcpa_medcws_weighted,numeric,Population-weighted median DCPA (pesticide) concentration across cws samples,UCMR (script 03),tract
dcpa_maxcws_weighted,numeric,Population-weighted max DCPA concentration across cws samples,UCMR (script 03),tract
perchlorate_medcws_weighted,numeric,Population-weighted median perchlorate concentration,UCMR (script 03),tract
perchlorate_maxcws_weighted,numeric,Population-weighted max perchlorate concentration,UCMR (script 03),tract
dichloroethane11_medcws_weighted,numeric,Population-weighted median 1-1-dichloroethane (VOC) concentration,UCMR (script 03),tract
dichloroethane11_maxcws_weighted,numeric,Population-weighted max 1-1-dichloroethane concentration,UCMR (script 03),tract
dioxane14_medcws_weighted,numeric,Population-weighted median 1-4-dioxane (solvent) concentration,UCMR (script 03),tract
dioxane14_maxcws_weighted,numeric,Population-weighted max 1-4-dioxane concentration,UCMR (script 03),tract
hcfc22_medcws_weighted,numeric,Population-weighted median HCFC-22 (refrigerant/VOC) concentration,UCMR (script 03),tract
hcfc22_maxcws_weighted,numeric,Population-weighted max HCFC-22 concentration,UCMR (script 03),tract
halon1011_medcws_weighted,numeric,Population-weighted median Halon 1011 (fire suppressant/VOC) concentration,UCMR (script 03),tract
halon1011_maxcws_weighted,numeric,Population-weighted max Halon 1011 concentration,UCMR (script 03),tract
pfbs_3_medcws_weighted,numeric,Population-weighted median PFBS (UCMR3) concentration,UCMR (script 03),tract
pfbs_3_maxcws_weighted,numeric,Population-weighted max PFBS (UCMR3) concentration,UCMR (script 03),tract
pfhpa_3_medcws_weighted,numeric,Population-weighted median PFHpA (UCMR3) concentration,UCMR (script 03),tract
pfhpa_3_maxcws_weighted,numeric,Population-weighted max PFHpA (UCMR3) concentration,UCMR (script 03),tract
pfhxs_3_medcws_weighted,numeric,Population-weighted median PFHxS (UCMR3) concentration,UCMR (script 03),tract
pfhxs_3_maxcws_weighted,numeric,Population-weighted max PFHxS (UCMR3) concentration,UCMR (script 03),tract
pfna_3_medcws_weighted,numeric,Population-weighted median PFNA (UCMR3) concentration,UCMR (script 03),tract
pfna_3_maxcws_weighted,numeric,Population-weighted max PFNA (UCMR3) concentration,UCMR (script 03),tract
pfoa_3_medcws_weighted,numeric,Population-weighted median PFOA (UCMR3) concentration,UCMR (script 03),tract
pfoa_3_maxcws_weighted,numeric,Population-weighted max PFOA (UCMR3) concentration,UCMR (script 03),tract
pfos_3_medcws_weighted,numeric,Population-weighted median PFOS (UCMR3) concentration,UCMR (script 03),tract
pfos_3_maxcws_weighted,numeric,Population-weighted max PFOS (UCMR3) concentration,UCMR (script 03),tract
pfasany_3_sumcwsmed_weighted,numeric,Population-weighted sum of all PFAS medians (UCMR3),UCMR (script 03),tract
pfasany_3_sumcwsmax_weighted,numeric,Population-weighted sum of all PFAS maxes (UCMR3),UCMR (script 03),tract
pfospfoa_3_sumcwsmax_weighted,numeric,Population-weighted sum of PFOS+PFOA max values (UCMR3),UCMR (script 03),tract
pfba_medcws_weighted,numeric,Population-weighted median PFBA concentration,UCMR (script 03),tract
pfba_maxcws_weighted,numeric,Population-weighted max PFBA concentration,UCMR (script 03),tract
pfbs_5_medcws_weighted,numeric,Population-weighted median PFBS (UCMR5) concentration,UCMR (script 03),tract
pfbs_5_maxcws_weighted,numeric,Population-weighted max PFBS (UCMR5) concentration,UCMR (script 03),tract
pfhpa_5_medcws_weighted,numeric,Population-weighted median PFHpA (UCMR5) concentration,UCMR (script 03),tract
